TOA5,GR_TACNA_CR1000,CR1000,57625,CR1000.Std.26,CPU:emap_grt_rev1A.CR1,45873,Table1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BP_mbar,BP_mbar_Avg,BP_mbar_Max,BP_mbar_Min,Rain_mm_Tot,AirTC,AirTC_Avg,AirTC_Max,AirTC_Min,Temp_SenTer,Temp_SenTer_Avg,Temp_SenTer_Max,Temp_SenTer_Min,Temp_PuntoRocio,Temp_PuntoRocio_Avg,Temp_PuntoRocio_Max,Temp_PuntoRocio_Min,RH,RH_Max,RH_Min,WindDir,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms,WS_ms_Avg,WS_ms_Max,WS_ms_Min,SlrkW,SlrkW_Avg,SlrkW_Max,SlrkW_Min,SlrkJ_Tot,BattV_Min
TS,RN,mbar,mbar,mbar,mbar,mm,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,%,%,%,degrees,meters/second,Deg,Deg,meters/second,meters/second,meters/second,meters/second,kW/m^2,kW/m^2,kW/m^2,kW/m^2,kJ/m^2,Volts
,,Smp,Avg,Max,Min,Tot,Smp,Avg,Max,Min,Smp,Avg,Max,Min,Smp,Avg,Max,Min,Smp,Max,Min,Smp,WVc,WVc,WVc,Smp,Avg,Max,Min,Smp,Avg,Max,Min,Tot,Min
01/04/2025 09:00,1009,944,944,945,944,0,20.96,20.23,21.13,19.02,20.96,20.49,22.38,19.02,13.48,13.27,13.7,12.95,62.21,68.48,61.33,247,0.974,0,0,0.38,0.974,3.26,0.03,0.669,0.569,0.669,0.466,2049.286,13.07
08/04/2025 13:00,1010,935,933,936,501.5,0,24.43,24.74,25.24,24.36,25.72,26.21,26.87,24.4,14.2,14.31,14.62,14.1,52.81,53.25,50.75,230,2.998,209.5,25.56,3.96,2.998,5.5,1.11,0.857,0.869,0.882,0.857,777.9214,12.95
08/04/2025 14:00,1011,935,935,936,935,0,23.01,23.82,25.24,22.7,24.05,25.04,26.87,22.74,14.44,14.47,14.9,14.2,58.47,59.49,51.08,244,3.399,224.8,28.07,4.19,3.399,7.65,0.18,0.714,0.79,0.857,0.713,2844.953,13
08/04/2025 15:00,1012,935,935,936,935,0,21.38,22.25,23.35,21.38,22.1,23.19,24.35,21.45,14.25,14.38,14.73,14.19,63.75,63.75,57.86,206,3.183,226.6,28.81,3.39,3.183,6.73,0.58,0.513,0.619,0.716,0.513,2227.978,13.03
08/04/2025 16:00,1013,936,935,936,935,0,21.45,21.62,22.33,21.11,21.88,22.54,23.43,21.18,14.45,14.28,14.73,14.11,64.3,64.7,60.84,216,2.478,237.2,34.07,3.73,2.478,5.25,0.16,0.271,0.394,0.513,0.271,1417.274,13.05
08/04/2025 17:00,1014,937,936,937,935,0,20.25,20.78,21.62,19.91,21.08,21.51,22.58,19.91,14.15,14.16,14.54,14,67.91,69.16,63.15,261,2.6,225.2,29.87,2.6,2.6,5.76,0.23,0.072,0.163,0.271,0.072,586.1337,13.06
08/04/2025 18:00,1015,938,937,938,936,0,18.18,19.07,20.39,18.11,18.18,19.6,21.56,18.18,14,14.02,14.34,13.86,76.49,76.49,67.84,244,2.08,239.6,27.89,1.28,2.08,4.18,0.32,0,0.008,0.072,0,29.14399,12.79
08/04/2025 19:00,1016,937,938,938,937,0,17.26,17.72,18.46,17.16,17.95,18.11,19.21,17.19,13.96,14.01,14.31,13.88,80.9,81.2,76.22,268,NAN,0,0,1.53,NAN,NAN,NAN,0,0,0,0,0,12.67
08/04/2025 20:00,1017,938,938,939,937,0,16.72,16.93,17.46,16.65,16.72,17.23,18.08,16.65,13.86,13.92,14.23,13.8,83.2,83.8,80.6,280,NAN,0,0,1.04,NAN,NAN,NAN,0,0,0,0,0,12.6
08/04/2025 21:00,1018,939,939,939,938,0,16.72,16.72,17.06,16.58,16.72,16.9,17.68,16.58,13.85,13.86,14.26,13.76,83.1,83.9,82.1,162,NAN,0,0,1.12,NAN,NAN,NAN,0,0,0,0,0,12.51
08/04/2025 22:00,1019,939,939,940,938,0,16.65,16.89,17.5,16.65,16.99,17.03,18.01,16.65,13.73,13.86,14.26,13.72,82.8,83.5,80.5,235,NAN,0,0,1.28,NAN,NAN,NAN,0,0,0,0,0,12.45
08/04/2025 23:00,1020,939,939,940,939,0,16.25,16.36,16.85,16.11,16.25,16.54,17.56,16.11,13.54,13.6,14.06,13.42,83.9,84.5,82.8,269,NAN,0,0,0.14,NAN,NAN,NAN,0,0,0,0,0,12.43
09/04/2025 00:00,1021,939,939,940,938,0,16.45,16.4,16.76,16.25,16.45,16.44,17.32,16.25,13.51,13.57,13.89,13.48,82.6,84.2,82.4,175,NAN,0,0,0.95,NAN,NAN,NAN,0,0,0,0,0,12.43
09/04/2025 01:00,1022,939,939,939,938,0,16.19,16.38,16.73,16.19,16.19,16.44,17.27,16.19,13.29,13.47,13.82,13.27,82.9,83.4,82.3,24,NAN,0,0,0.69,NAN,NAN,NAN,0,0,0,0,0,12.42
