TOA5,GR_TACNA_ECA,CR1000,57624,CR1000.Std.26,CPU:AireGRT.CR1,5872,Horario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,no_Avg,no2_Avg,nox_Avg,flow_no_Avg,pres_no_Avg,temp_no_Avg,flags_no,so2_Avg,flow_so2_Avg,pres_so2_Avg,lamp_int_so2_Avg,lamp_volt_so2_Avg,temp_so2_Avg,cs_Avg,h2s_Avg,h2s_converter_Avg,flags_so2,co_Avg,flow_co_Avg,pres_co_Avg,agc_int_co_Avg,chamber_temp_co_Avg,temp_co_Avg,flags_co,o3_Avg,flow_a_o3_Avg,flow_b_o3_Avg,lamp_temp_o3_Avg,lamp_volt_o3_Avg,bench_temp_o3_Avg,flags_o3,operation_mode,system_status,case_temp_Avg,cap_temp_Avg,amb_temp_Avg,amb_rh_Avg,amb_pres_Avg,flow_control_Avg,bypass_flow_mas_Avg,bypass_flow_vol_Avg,vacuum_pump_pres_Avg,TeomA_flow_vol_Avg,TeomA_air_tube_Avg,TeomA_filter_load_Avg,TeomA_mass_conc_Avg,TeomA_1h_conc_Avg,TeomA_24h_conc_Avg,TeomA_frecuency_Avg,TeomA_noise_Avg,TeomB_flow_vol_Avg,TeomB_air_tube_Avg,TeomB_filter_load_Avg,TeomB_mass_conc_Avg,TeomB_1h_conc_Avg,TeomB_24h_conc_Avg,TeomB_frecuency_Avg,TeomB_noise_Avg,Dichot_conc_Avg,Dichot_1h_conc_Avg,Dichot_24h_conc_Avg
TS,RN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
6/6/2023 15:00,0,6.541639,1.576622,8.118555,0.6415555,203.1583,28.65278,CC000000,1.879278,1.026278,611.8666,98.52778,783.1227,31.21667,4.846833,2.967333,296.1945,4.00E+00,1780.111,1.059333,697.7166,198601.3,48.08889,33.40833,8C040000,18.05917,0.6935278,0.724611,53.13889,30.7,30.01944,0C100000,2,0,29.99953,29.99922,25.70314,58.75291,0.9377166,1,11.9944,11.9944,0.2589166,2.9967,30.00461,21.66807,0,0,0,257.2892,0,1.671534,30.15108,7.940456,0,0,0,275.0405,0,0,0,0
6/6/2023 16:00,1,19.60962,12.53187,32.14141,0.6397916,204.09,28.95167,CC000000,1.221257,1.025883,612.7058,98.575,784.7184,31.4625,4.40385,3.182567,324.2,4.00E+00,1636.317,1.057892,697.8075,198709.2,48.08167,33.325,8C040000,15.83858,0.6929166,0.7241166,53.1425,30.7,30.035,0C100000,4,0,29.99969,29.99921,24.85764,61.66642,0.9378166,1,11.99392,11.99395,0.259,2.996819,29.99968,21.99368,2.088093,0,0,257.2895,0.001938158,1.671335,30.00011,8.044265,5.516383,0,0,275.0346,0.005551891,7.604475,0,0
6/6/2023 17:00,2,24.26064,14.15779,38.41866,0.6395083,204.4275,30.43583,CC000000,1.122152,1.023767,613.2275,98.425,784.9475,32.60917,4.775033,3.652817,324.3,4.00E+00,1565.1,1.056225,697.8499,198609.5,48.11833,34.3375,8C040000,11.70362,0.6916666,0.72305,53.1975,30.7,31.04583,0C100000,4,0,29.99987,29.99942,23.16166,67.72333,0.9382583,1,11.99392,11.99388,0.2579333,2.996439,30.00043,22.17747,8.046694,0,0,257.2892,0.003191833,1.671653,30.0003,8.139564,19.1912,0,0,275.0277,0.0071067,27.2379,0,0
6/6/2023 18:00,3,36.83533,19.87147,56.7065,0.6407583,204.7625,30.96167,CC000000,1.522227,1.023175,613.6799,98.525,783.7246,33.14583,6.365466,4.843266,324.3167,4.00E+00,1597.05,1.056008,698.1375,198561.4,48.135,34.69416,8C040000,7.145983,0.6909832,0.7230666,53.22333,30.7,31.9425,0C100000,4,0,29.99997,29.99973,21.40253,74.11082,0.9391083,1,11.99374,11.99374,0.2580167,2.996545,30.00075,22.40551,12.03217,9.946392,0,257.2887,0.002955117,1.671557,29.99976,8.226355,21.14536,19.73201,0,275.0201,0.006535758,33.17753,29.6784,0
6/6/2023 19:00,4,37.05241,21.45517,58.50808,0.642025,205.08,31.13667,CC000000,1.420075,1.022942,614.1049,98.59167,783.8391,33.25333,5.791383,4.371316,324.4333,4.00E+00,1606.6,1.0557,698.5775,198545.7,48.15916,34.82666,8C040000,6.248125,0.6904417,0.7224583,53.23667,30.7,32.19917,0C100000,4,0,29.99989,30.00084,21.05902,76.35179,0.9395249,1,11.99369,11.99371,0.2577667,2.996607,29.99971,22.62333,15.59645,14.45399,0,257.2881,0.003200108,1.671676,29.99994,8.23997,22.13205,21.7122,0,275.0123,0.007298608,37.7285,36.16619,0
6/6/2023 20:00,5,21.96874,16.96657,38.93559,0.6430083,205.0925,31.23166,CC000000,1.304757,1.023025,614.3224,98.50833,784.8464,33.365,4.970916,3.666217,324.45,4.00E+00,1462.65,1.05545,698.72,198531.2,48.16167,34.90083,8C040000,7.794692,0.690075,0.7220333,53.24666,30.7,32.38417,0C100000,4,0,30.00004,30.00083,20.91486,76.94083,0.93975,1,11.99371,11.99369,0.257925,2.996209,29.99981,22.7816,13.41109,14.78528,0,257.2877,0.003019392,1.67121,30.00019,8.406744,21.17365,22.64705,0,275.005,0.006682674,34.58474,37.43233,0
6/6/2023 21:00,6,13.877,13.03917,26.91608,0.6431167,205.23,31.22167,CC000000,1.059537,1.022908,614.5424,98.5,785.3046,33.35667,5.921617,4.862083,324.4,4.00E+00,1393.2,1.055192,698.9575,198530,48.15667,34.9125,8C040000,9.80905,0.6903999,0.7223333,53.24166,30.7,32.40083,0C100000,4,0,29.99977,29.9991,20.63629,77.97857,0.9399167,1,11.99369,11.99369,0.2583333,2.996181,30.00013,22.82925,11.08406,11.88573,0,257.2872,0.003166133,1.67154,30.00027,8.410147,16.19183,18.00901,0,274.9993,0.005511441,27.2759,29.89475,0
6/6/2023 22:00,7,12.78323,11.93828,24.72183,0.6431167,205.2025,31.295,CC000000,1.341517,1.023267,614.7299,98.46667,785.8099,33.4025,7.871316,6.530083,324.525,4.00E+00,1332.467,1.055817,699.2175,198522.4,48.16583,34.94167,8C040000,10.30579,0.6903666,0.7225,53.23417,30.7,32.4525,0C100000,4,0,29.9999,30.00054,20.45136,78.87856,0.9403,1,11.99369,11.99369,0.257625,2.996472,29.99973,22.98751,10.14189,11.16931,0,257.2869,0.002942192,1.6715,29.99982,8.464603,15.21513,15.04271,0,274.9938,0.005474533,25.35703,26.21203,0
6/6/2023 23:00,8,7.322291,9.237691,16.55992,0.6431,205.455,31.32083,CC000000,1.134453,1.023517,615.0125,98.6,786.6892,33.39583,6.008333,4.873917,324.4,4.00E+00,1277.908,1.056308,699.535,198523,48.165,34.94917,8C040000,12.51013,0.6902916,0.7224333,53.24083,30.7,32.5,0C100000,4,0,29.99988,30.00087,20.20041,79.57667,0.94055,1,11.99397,11.9939,0.2578,2.996394,30.00014,23.01133,7.366663,7.902871,0,257.2866,0.00283195,1.671551,29.99985,8.425462,10.83632,14.17569,0,274.9898,0.006053866,18.20298,22.07856,0
