Serial Number,Variant,Software Version
1405A227561402,DichotFDMS,1.71

Date,Time,tmoAmbientRH_0,tmoTEOMAMC1Hr_0,tmoTEOMBMC1Hr_0,tmoAmbientTemp_0,tmoDichotMC1Hr_0,tmoTEOMAMC24Hr_0,tmoTEOMBMC24Hr_0,tmoDichotMC24Hr_0,tmoAmbientPressure_0,tmoStatusCondition_0,tmoTEOMAFilterLoad_0,tmoTEOMAFrequency_0,tmoTEOMANoise_0,tmoTEOMBFilterLoad_0,tmoTEOMBNoise_0,tmoTEOMBMassRate_0,tmoTEOMADryerTemp_0,tmoTEOMADryerRH_0,tmoTEOMBDryerTemp_0,tmoTEOMBDryerRH_0
2024-09-05,12:00:00,57.559,0,0,19.152,0,0,0,0,0.948,131136,30.6319,257.529013,0,13.8864,0,0,21.441,28.265,21.141,12.132
2024-09-05,13:00:01,53.919,0,0,20.157,0,0,0,0,0.948,0,29.815,257.5389,0.004329,13.478,0.003924,35.2441,23.077,27.288,22.877,11.485
2024-09-09,19:00:00,79.239,0,0,14.164,0,0,0,0,0.957,0,28.7939,257.533753,0,12.8654,0,0,23.107,27.78,22.967,12.097
2024-09-09,20:00:00,79.104,0,0,13.882,0,0,0,0,0.958,0,29.6108,257.533068,0.002939,12.6612,0.003019,12.9026,26.275,25.857,26.266,11.856
2024-09-09,21:00:00,80.906,11.2658,14.8756,13.6,26.1414,0,0,0,0.958,0,29.2024,257.533925,0.007098,12.6612,0.004826,16.0053,28.979,24.243,29.059,11.666
2024-09-09,22:00:01,81.06,13.8877,20.1232,13.661,34.0109,0,0,0,0.958,570556480,29.815,257.542706,0.010692,12.8654,0.007794,21.5163,31,22.907,31.14,11.519
2024-09-09,23:00:01,81.917,19.9588,16.767,13.5,36.7257,0,0,0,0.958,570556480,30.0192,257.551154,0.005535,13.0696,0.008831,18.7666,32.44,21.912,32.609,11.502
2024-09-10,00:00:00,82.171,19.5915,12.516,13.51,32.1074,0,0,0,0.96,570556480,30.6319,257.557324,0.007832,13.6822,0.007001,14.478,33.449,21.172,33.579,11.386
2024-09-10,01:00:00,82.699,6.50928,12.1775,13.439,18.6868,0,0,0,0.959,570556480,30.2234,257.561548,0.006023,13.0696,0.006167,12.831,34.108,20.736,34.258,11.491
2024-09-10,02:00:01,82.759,19.2959,11.7646,13.318,31.0606,0,0,0,0.958,570556480,31.0403,257.566023,0.005185,13.6822,0.007845,13.6969,34.658,20.439,34.787,10.808
2024-09-10,03:00:01,83.458,1.29042,10.9644,13.228,12.2548,0,0,0,0.957,570556480,31.0403,257.568384,0.003026,13.2738,0.005053,11.0957,34.977,20.088,35.097,11.291
2024-09-10,04:00:00,82.797,15.7069,12.3332,13.268,28.0402,0,0,0,0.958,570556480,30.8361,257.570375,0.005839,13.6822,0.006725,13.9067,35.237,19.732,35.346,11.379
2024-09-10,05:00:00,81.563,16.1353,9.65184,13.459,25.7872,0,0,0,0.958,570556480,30.8361,257.572338,0.005509,12.8654,0.004718,11.2676,35.476,19.599,35.596,11.272
2024-09-10,06:00:01,81.389,22.3268,10.6203,13.5,32.9471,0,0,0,0.958,570556480,31.2445,257.573393,0.005109,13.2738,0.003324,12.8555,35.726,19.202,35.835,11.164
2024-09-10,07:00:01,82.485,16.463,12.4234,13.218,28.8864,0,0,0,0.961,570556480,31.4487,257.574124,0.007169,13.478,0.003973,14.0725,35.866,19.175,35.975,11.169
2024-09-10,08:00:00,83.583,16.949,14.6172,13.278,31.5662,0,0,0,0.96,570556480,31.2445,257.574398,0.004352,13.2738,0.004512,16.3153,35.956,19.405,36.035,11.25
2024-09-10,09:00:00,80.716,7.91157,19.6043,13.963,27.5158,0,0,0,0.96,570556480,29.815,257.554942,0.024165,13.0696,0.014897,20.3995,30.76,23.253,30.61,11.575
2024-09-10,10:00:01,70.701,-18.4212,24.6703,16.951,6.24909,0,0,0,0.956,64,29.815,257.525361,0.005671,12.8654,0.006544,22.8328,25.543,26.79,25.374,12.353
2024-09-10,11:00:00,63.168,11.9007,38.8417,18.72,50.7424,0,0,0,0.956,0,29.2024,257.520601,0.00335,12.457,0.005651,40.0397,23.408,28.052,23.138,12.18
2024-09-10,12:07:05,57.468,0,0,20.157,0,0,0,0,0.955,0,14.9075,340.81777,0,5.71795,0,0,22.695,26.694,22.375,10.474
2024-09-10,13:00:01,52.296,0,0,21.442,0,0,0,0,0.954,0,29.4066,257.71973,0,12.457,0,0,22.756,28.031,22.556,12.042
2024-09-10,14:00:00,53.138,0,0,22.024,0,0,0,0,0.954,0,30.0192,257.719636,0.002338,12.8654,0.004276,16.8725,22.806,28.244,22.616,11.854
2024-09-10,15:00:00,59.895,14.8741,22.7835,20.207,37.6576,0,0,0,0.954,0,29.6108,257.719379,0.002222,12.8654,0.005606,24.2758,22.304,29.105,22.154,12.138
2024-09-10,16:00:01,64.388,13.1343,16.2953,18.901,29.4296,0,0,0,0.955,0,29.2024,257.719422,0.00311,14.0907,0.004443,17.6123,22.103,29.156,21.974,11.827
2024-09-10,17:00:01,70.503,7.27306,25.2614,17.112,32.5345,0,0,0,0.954,0,31.0403,257.719229,0.00189,13.478,0.004084,25.9939,22.324,28.968,22.195,11.76
2024-09-10,18:00:00,77.459,13.5215,21.7848,15.12,35.3063,0,0,0,0.957,0,29.6108,257.718713,0.001807,13.0696,0.003099,23.1415,22.344,28.761,22.255,11.687
2024-09-10,19:00:01,80.026,11.403,25.5686,14.577,36.9716,0,0,0,0.957,0,29.4066,257.718349,0.002302,12.6612,0.002634,26.7142,22.244,28.856,22.144,11.758
2024-09-10,20:00:01,81.444,9.85301,27.9074,14.285,37.7604,0,0,0,0.956,0,29.4066,257.718036,0.002665,13.478,0.003994,28.8985,22.184,28.921,22.094,11.756
2024-09-10,21:00:00,81.993,9.14207,14.1494,14.084,23.2915,0,0,0,0.957,0,31.2445,257.717809,0.002961,13.478,0.00401,15.0666,22.123,28.881,22.034,11.678
2024-09-10,22:00:00,82.539,9.47778,13.7071,14.073,23.1849,0,0,0,0.955,0,31.2445,257.717795,0.002418,13.6822,0.003986,14.6578,22.043,28.978,21.954,11.75
2024-09-10,23:00:01,81.763,11.3591,14.6859,14.084,26.0451,0,0,0,0.957,0,29.815,257.717611,0.002317,12.6612,0.003727,15.825,22.023,28.941,21.934,12.28
2024-09-11,00:00:00,82.517,9.19446,8.99594,13.802,18.1904,0,0,0,0.955,0,30.2234,257.717565,0.002603,14.2949,0.004153,9.91737,21.983,28.868,21.903,11.672
2024-09-11,01:00:00,83.089,11.5161,8.09624,13.641,19.6123,0,0,0,0.957,0,29.4066,257.717349,0.001885,13.6822,0.004358,9.2497,21.963,28.866,21.883,11.671
2024-09-11,02:00:01,83.029,12.2483,6.79553,13.58,19.0439,0,0,0,0.954,0,31.2445,257.717314,0.002574,13.2738,0.003549,8.02197,21.913,28.827,21.833,11.669
2024-09-11,03:00:01,83.676,9.39855,7.46896,13.379,16.8675,0,0,0,0.956,0,30.2234,257.717092,0.002424,13.0696,0.003196,8.4105,21.913,28.862,21.833,12.086
2024-09-11,04:00:00,83.557,9.75992,5.65226,13.439,15.4122,0,0,0,0.956,0,29.815,257.716978,0.003133,12.6612,0.003272,6.62958,21.893,28.791,21.803,11.668
2024-09-11,05:00:01,82.056,6.55512,5.07698,13.6,11.6321,0,0,0,0.956,0,30.4277,257.716871,0.003053,14.7033,0.004143,5.73364,21.882,28.72,21.803,11.668
2024-09-11,06:00:01,83.094,9.74207,10.9942,13.469,20.7363,0,0,0,0.958,0,28.9982,257.71635,0.003047,14.0906,0.005046,11.9708,21.903,28.861,21.823,11.669
2024-09-11,07:00:00,80.591,6.95681,21.4466,13.822,28.4035,0,0,0,0.957,0,29.6108,257.716153,0.002809,13.0696,0.004267,22.1468,21.903,28.583,21.813,11.934
2024-09-11,08:00:00,80.759,11.4043,22.47,14.043,33.8743,0,0,0,0.956,0,29.815,257.715685,0.002249,13.2738,0.003471,23.6152,21.973,28.728,21.883,11.671
2024-09-11,09:00:01,77.852,11.525,27.0945,14.426,38.6195,0,0,0,0.958,0,31.6529,257.715294,0.001917,13.8865,0.003076,28.2526,22.063,28.458,21.944,11.598
2024-09-11,10:00:01,76.856,9.62536,9.46487,15.342,19.0902,0,0,0,0.958,0,29.2024,257.715157,0.002005,14.4991,0.003979,10.4295,22.234,28.717,22.124,11.682
2024-09-11,11:00:00,69.591,12.7372,14.1717,17.253,26.9089,0,0,0,0.955,0,31.4487,257.714972,0.002535,13.478,0.003175,15.4485,22.625,28.577,22.496,11.697
2024-09-11,12:00:00,64.295,10.9889,18.8312,18.409,29.82,0,0,0,0.956,0,31.6529,257.714699,0.001489,14.0906,0.002839,19.934,22.705,28.584,22.556,11.7
2024-09-11,13:00:01,63.525,10.59,12.1156,18.71,22.7056,0,0,0,0.956,0,30.2234,257.714413,0.001659,13.2738,0.003818,13.1772,22.284,28.895,22.114,12.212
