TOA5,CR1000-GR Tacna,CR1000,57625,CR1000.Std.26,CPU:emap_grt_rev1A.CR1,18880,Table1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BP_mbar,BP_mbar_Avg,BP_mbar_Max,BP_mbar_Min,Rain_mm_Tot,AirTC,AirTC_Avg,AirTC_Max,AirTC_Min,Temp_SenTer,Temp_SenTer_Avg,Temp_SenTer_Max,Temp_SenTer_Min,Temp_PuntoRocio,Temp_PuntoRocio_Avg,Temp_PuntoRocio_Max,Temp_PuntoRocio_Min,RH,RH_Max,RH_Min,WindDir,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms,WS_ms_Avg,WS_ms_Max,WS_ms_Min,SlrkW,SlrkW_Avg,SlrkW_Max,SlrkW_Min,SlrkJ_Tot,BattV_Min
TS,RN,mbar,mbar,mbar,mbar,mm,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,%,%,%,degrees,meters/second,Deg,Deg,meters/second,meters/second,meters/second,meters/second,kW/m^2,kW/m^2,kW/m^2,kW/m^2,kJ/m^2,Volts
,,Smp,Avg,Max,Min,Tot,Smp,Avg,Max,Min,Smp,Avg,Max,Min,Smp,Avg,Max,Min,Smp,Max,Min,Smp,WVc,WVc,WVc,Smp,Avg,Max,Min,Smp,Avg,Max,Min,Tot,Min
21/8/2024 13:00,0,948,946,948,503.3,0,15.48,15.34,15.68,14.94,15.48,15.34,15.68,14.94,11.85,11.68,12.27,11.02,78.88,80.4,75.36,224,1.288,242,34.58,1.31,1.288,3.73,0.1,0,NAN,NAN,NAN,NAN,12.72
21/8/2024 14:00,1,948,948,949,947,0,13.6,14.39,15.89,13.53,13.6,14.39,15.89,13.53,11.31,11.49,12.31,11.16,86,86.2,77.45,236,2.171,235.8,23.63,1.78,2.171,6.19,0.12,0.103,0.078,0.193,0,280.3924,13.02
21/8/2024 15:00,2,948,948,949,947,0,13,13.32,13.87,13,13,13.32,13.87,13,11.17,11.3,11.65,11.13,88.6,88.9,85.4,265,1.672,235.5,24.45,1.88,1.672,4.61,0.05,0.051,0.068,0.103,0.051,243.4067,13.15
21/8/2024 16:00,3,948,949,949,948,0.25,13.05,12.95,13.33,12.71,13.05,12.95,13.33,12.71,11.48,11.3,11.61,11.16,90.1,91,88.4,221,1.098,231.7,35.57,1.55,1.098,2.65,0.06,0,0.028,0.052,0,100.568,12.86
21/8/2024 17:00,4,949,949,950,948,0,12.52,12.53,13.05,12.24,12.52,12.53,13.05,12.24,11.71,11.41,11.85,11.16,94.7,95,90,219,1.275,228.3,28.53,1.34,1.275,3.55,0.06,0,0,0,0,0,12.67
21/8/2024 18:00,5,950,949,950,948,0.25,12.02,12.33,12.69,11.99,12.02,12.33,12.69,11.99,11.23,11.45,11.88,11.07,94.8,94.9,93.3,250,1.347,225.6,23.45,1.87,1.347,3.12,0.26,0,0,0,0,0,12.6
21/8/2024 19:00,6,949,950,950,949,0.25,11.78,11.84,12.22,11.71,11.78,11.84,12.22,11.71,10.9,11.04,11.44,10.86,94.3,95.4,94.1,183,1.273,226.4,27.74,1.06,1.273,2.99,0.09,0,0,0,0,0,12.59
21/8/2024 20:00,7,950,950,951,949,0,11.92,11.92,12.26,11.71,11.92,11.92,12.26,11.71,10.99,11.01,11.36,10.83,94,94.9,93.3,226,0.916,0,0,1.9,0.916,2.12,0.04,0,0,0,0,0,12.55
21/8/2024 21:00,8,951,950,951,949,0.25,11.85,11.88,12.22,11.71,11.85,11.88,12.22,11.71,11.01,11.06,11.39,10.89,94.6,95.3,93.9,234,1.268,229.8,24.95,1.39,1.268,2.72,0.17,0,0,0,0,0,12.54
21/8/2024 22:00,9,950,950,951,950,0.5,11.71,11.77,12.12,11.61,11.71,11.77,12.12,11.61,10.95,10.94,11.33,10.79,95,95.1,94.1,271,1.127,229.9,27.43,0.72,1.127,2.24,0.12,0,0,0,0,0,12.51
21/8/2024 23:00,10,950,950,951,949,0,11.85,11.69,11.99,11.51,11.85,11.69,11.99,11.51,11.15,10.87,11.27,10.69,95.4,95.4,93.9,199,0.747,247.4,40.26,0.45,0.747,2.06,0.05,0,0,0,0,0,12.54
22/8/2024 0:00,11,949,950,950,949,0,11.51,11.61,11.92,11.48,11.51,11.61,11.92,11.48,10.77,10.88,11.22,10.72,95.2,95.5,94.9,194,0.502,0,0,0.84,0.502,1.83,0.01,0,0,0,0,0,12.52
22/8/2024 1:00,12,948,949,950,948,0,11.51,11.56,11.88,11.44,11.51,11.56,11.88,11.44,10.81,10.86,11.26,10.69,95.4,95.9,95,NAN,0.512,0,0,0.03,0.512,1.34,0.01,0,0,0,0,0,12.5
22/8/2024 2:00,13,948,948,949,947,0,11.37,11.5,11.82,11.31,11.37,11.5,11.82,11.31,10.7,10.82,11.16,10.59,95.6,95.9,95.3,219,0.809,0,0,1.35,0.809,1.99,0.02,0,0,0,0,0,12.48
