Serial Number,Variant,Software Version
1405A227561402,DichotFDMS,1.71

Date,Time,tmoAmbientRH_0,tmoTEOMAMC1Hr_0,tmoTEOMBMC1Hr_0,tmoAmbientTemp_0,tmoDichotMC1Hr_0,tmoTEOMAMC24Hr_0,tmoTEOMBMC24Hr_0,tmoDichotMC24Hr_0,tmoAmbientPressure_0,tmoStatusCondition_0,tmoTEOMAFilterLoad_0,tmoTEOMAFrequency_0,tmoTEOMANoise_0,tmoTEOMBFilterLoad_0,tmoTEOMBNoise_0,tmoTEOMBMassRate_0,tmoTEOMADryerTemp_0,tmoTEOMADryerRH_0,tmoTEOMBDryerTemp_0,tmoTEOMBDryerRH_0
2006-01-01,01:00:00,-2.6,0,0,-272.4,0,0,0,0,-0.013,370541136,0,0,0,0,0,0,0,0,0,0
2015-09-24,10:00:00,80.652,0,0,19.773,0,0,0,0,0.933,0,22.8718,271.577852,0,8.98534,0,(null),(null),(null),(null),(null)
2015-09-24,10:30:01,72.407,0,0,20.416,0,0,0,0,0.932,0,22.6676,271.576685,0.005136,9.18955,0.004527,(null),(null),(null),(null),(null)
2015-09-24,11:00:00,72.007,0,0,20.748,0,0,0,0,0.931,0,21.6465,271.57652,0.005579,8.57692,0.003068,(null),(null),(null),(null),(null)
2015-09-24,11:30:01,69.449,0,0,21.803,0,0,0,0,0.931,0,22.8718,271.576159,0.004606,9.18956,0.005276,(null),(null),(null),(null),(null)
2015-09-24,12:00:01,63.194,8.88113,16.5296,23.29,25.4107,0,0,0,0.931,0,21.6465,271.576198,0.006462,8.37271,0.002937,(null),(null),(null),(null),(null)
2015-09-24,13:17:45,33.668,0,0,32.5,0,0,0,0,0.937,0,19.8086,271.574924,0,9.59799,0,(null),(null),(null),(null),(null)
2015-09-24,13:34:53,54.748,0,0,23.727,0,0,0,0,0.938,33685504,26.7518,271.708313,0,14.7033,0,(null),(null),(null),(null),(null)
2015-09-24,14:00:03,56.744,0,0,23.055,0,0,0,0,0.937,0,20.0128,271.867916,0,8.57692,0,(null),(null),(null),(null),(null)
2015-09-24,14:30:03,58.486,0,0,22.313,0,0,0,0,0.936,0,21.2381,271.868723,0.005967,9.39377,0.016522,(null),(null),(null),(null),(null)
2015-09-24,15:00:02,58.838,0,0,22.282,0,0,0,0,0.937,0,19.8086,271.86816,0.002571,8.57692,0.002744,(null),(null),(null),(null),(null)
2015-09-24,15:30:03,60.59,0,0,21.449,0,0,0,0,0.938,0,21.0339,271.867309,0.004014,8.98534,0.011162,(null),(null),(null),(null),(null)
2015-09-24,16:00:02,63.714,19.8216,31.2212,20.596,51.0427,0,0,0,0.938,0,21.0339,271.867186,0.00409,8.57692,0.002585,(null),(null),(null),(null),(null)
2015-09-24,16:30:02,68.311,19.8216,31.2212,19.491,51.0427,0,0,0,0.937,0,21.2381,271.86681,0.003827,8.98534,0.010697,(null),(null),(null),(null),(null)
2015-09-24,17:00:03,75.541,17.2097,27.3898,17.651,44.5995,0,0,0,0.938,0,20.6255,271.866435,0.005342,8.78114,0.002523,(null),(null),(null),(null),(null)
2015-09-24,17:30:02,77.44,17.2097,27.3898,16.977,44.5995,0,0,0,0.939,0,22.0549,271.865876,0.002993,9.39377,0.007658,(null),(null),(null),(null),(null)
2015-09-24,18:00:03,79.17,16.4699,22.7252,16.414,39.1951,0,0,0,0.939,0,20.6255,271.86566,0.003057,8.57692,0.002406,(null),(null),(null),(null),(null)
