Serial Number,Variant,Software Version
1405A227561402,DichotFDMS,1.71

Date,Time,tmoAmbientRH_0,tmoTEOMAMC1Hr_0,tmoTEOMBMC1Hr_0,tmoAmbientTemp_0,tmoDichotMC1Hr_0,tmoTEOMAMC24Hr_0,tmoTEOMBMC24Hr_0,tmoDichotMC24Hr_0,tmoAmbientPressure_0,tmoStatusCondition_0,tmoTEOMAFilterLoad_0,tmoTEOMAFrequency_0,tmoTEOMANoise_0,tmoTEOMBFilterLoad_0,tmoTEOMBNoise_0,tmoTEOMBMassRate_0,tmoTEOMADryerTemp_0,tmoTEOMADryerRH_0,tmoTEOMBDryerTemp_0,tmoTEOMBDryerRH_0
2024-11-28,15:00:00,51.526,0,0,23.96,0,0,0,0,0.946,0,28.7939,257.896253,0,13.478,0,0,26.155,28.148,25.935,12.607
2024-11-28,16:00:01,52.372,0,0,23.509,0,0,0,0,0.948,0,29.4066,257.900289,0.003292,12.6612,0.003211,20.4088,24.641,28.928,24.401,12.692
2024-11-28,17:00:00,58.34,7.66086,22.4716,21.723,30.1325,0,0,0,0.949,0,28.9982,257.90066,0.002947,12.457,0.003708,23.2424,23.969,29.113,23.749,12.966
2024-11-28,18:00:00,64.368,9.27408,21.5082,19.966,30.7823,0,0,0,0.95,0,29.2024,257.90059,0.002791,12.2527,0.005113,22.4401,23.448,29.346,23.278,12.414
2024-11-28,19:00:01,68.382,11.6621,17.3222,18.982,28.9843,0,0,0,0.949,0,29.4066,257.899051,0.003396,12.2527,0.00318,18.4921,23.067,29.52,22.917,12.929
2024-11-28,20:00:01,73.648,7.96557,14.2397,18.489,22.2053,0,0,0,0.949,0,28.9982,257.899422,0.026091,12.0485,0.0025,15.0393,22.866,30.056,22.716,13.072
2024-11-28,21:00:00,77.725,7.92125,13.4372,17.745,21.3585,0,0,0,0.95,0,29.6108,257.899032,0.002811,12.457,0.004424,14.2322,22.766,30.254,22.616,12.386
2024-11-28,22:00:00,76.112,7.53047,14.9568,17.695,22.4873,0,0,0,0.95,0,29.2024,257.898854,0.002077,12.6612,0.002776,15.713,22.625,30,22.475,13.061
2024-11-28,23:00:01,74.221,-5.32365,16.7194,17.745,11.3958,0,0,0,0.949,0,29.4066,257.898023,0.00529,13.0696,0.002753,16.1903,22.535,29.853,22.405,12.982
2024-11-29,00:00:01,72.904,6.78501,10.7412,17.997,17.5262,0,0,0,0.949,0,29.2024,257.898074,0.003078,12.2527,0.002551,11.422,22.495,29.815,22.355,12.98
2024-11-29,01:00:00,73.101,6.3517,13.3435,17.846,19.6952,0,0,0,0.95,0,30.0192,257.898046,0.002329,12.8654,0.003593,13.9815,22.465,29.814,22.345,12.412
2024-11-29,02:00:00,72.306,5.64017,10.9299,17.956,16.57,0,0,0,0.948,0,29.4066,257.898218,0.003371,12.8654,0.002367,11.4962,22.465,29.777,22.335,12.601
2024-11-29,03:00:01,72.18,10.4348,9.45317,17.725,19.888,0,0,0,0.947,0,29.4066,257.898084,0.003255,12.8654,0.003363,10.4988,22.455,29.673,22.325,12.903
2024-11-29,04:00:01,72.667,1.97702,15.2523,17.605,17.2294,0,0,0,0.947,0,29.815,257.8978,0.002844,12.8654,0.002591,15.4531,22.424,29.67,22.285,12.939
2024-11-29,05:00:00,71.895,10.4728,18.2347,17.595,28.7074,0,0,0,0.948,0,29.4066,257.897419,0.002416,12.6612,0.00317,19.2858,22.374,29.527,22.255,12.218
2024-11-29,06:00:01,67.194,13.5762,20.2321,19.343,33.8083,0,0,0,0.948,0,30.0192,257.896874,0.003867,12.8654,0.002829,21.594,22.394,29.806,22.265,12.976
2024-11-29,07:00:01,60.93,11.6882,30.5798,21.402,42.268,0,0,0,0.948,0,30.0192,257.896324,0.003178,12.8654,0.003758,31.755,22.736,29.976,22.556,12.534
2024-11-29,08:00:00,57.66,16.2216,27.2289,22.335,43.4504,0,0,0,0.949,0,30.0192,257.895359,0.002241,12.2527,0.004251,28.8568,23.207,29.81,22.977,13.083
2024-11-29,09:00:00,55.905,18.3475,25.976,23.108,44.3235,0,0,0,0.949,0,30.4277,257.894349,0.002409,12.2527,0.005881,27.8163,23.478,29.73,23.238,13.057
2024-11-29,10:03:52,51.029,0,0,24.311,0,0,0,0,0.948,0,23.4844,257.838884,0,10.0064,0,0,23.428,29.17,23.148,12.029
2024-11-29,11:00:00,47.842,0,0,25.424,0,0,0,0,0.947,0,22.4634,257.833968,0,9.39378,0,0,23.769,29.305,23.539,13.033
2024-11-29,12:00:00,46.581,0,0,26.095,0,0,0,0,0.947,0,22.0549,257.832464,0.009388,9.18955,0.002886,24.9367,24.401,29.221,24.201,12.987
2024-11-29,13:05:32,45.123,0,0,25.875,0,0,0,0,0.948,0,21.6465,257.830017,0,9.18955,0,0,24.912,28.672,24.612,12.244
2024-11-29,14:00:00,46.766,0,0,25.374,0,0,0,0,0.946,0,21.6465,257.830492,0,9.18955,0,0,24.932,28.499,24.642,12.93
2024-11-29,15:00:01,50.879,0,0,23.92,0,0,0,0,0.947,0,22.0549,257.830235,0,9.59799,0,0,24.671,28.721,24.401,12.463
2024-11-29,16:00:00,55.495,0,0,22.225,0,0,0,0,0.946,0,21.8507,257.829491,0.003725,9.39378,0.005676,25.8567,23.548,29.215,23.238,12.489
2024-11-29,17:00:00,60.791,18.4112,29.492,20.779,47.9032,0,0,0,0.947,0,21.4423,257.828802,0.002998,8.98534,0.00405,31.3394,22.896,29.574,22.586,12.612
2024-11-29,18:00:01,65.633,16.5534,28.7403,19.544,45.2937,0,0,0,0.95,0,22.0549,257.828038,0.003833,9.39376,0.005158,30.4017,22.565,29.821,22.265,12.976
2024-11-29,19:00:00,69.833,18.1406,28.561,18.69,46.7015,0,0,0,0.95,0,22.4634,257.826801,0.002972,10.0064,0.0061,30.3811,21.953,30.18,21.643,13.023
2024-11-29,20:00:00,74.276,12.0588,27.7354,17.997,39.7942,0,0,0,0.951,0,22.4634,257.825357,0.003878,9.39378,0.005371,28.9471,21.973,30.389,21.713,13.026
2024-11-29,21:00:01,77.592,8.08714,19.7387,17.273,27.8259,0,0,0,0.949,0,22.0549,257.825751,0.004032,9.59799,0.005487,20.5515,22.164,30.337,21.903,13.035
2024-11-29,22:00:00,75.686,5.70033,15.9519,17.343,21.6523,0,0,0,0.951,0,22.4634,257.825467,0.002982,9.39378,0.005497,16.5253,22.284,30.003,21.954,12.962
2024-11-29,23:00:00,75.527,5.8008,14.0296,17.303,19.8304,0,0,0,0.949,0,22.4634,257.825501,0.003099,10.0064,0.003719,14.6126,22.344,29.939,22.034,12.965
2024-11-30,00:00:01,75.735,1.93208,10.8304,17.122,12.7625,0,0,0,0.95,0,22.6676,257.82538,0.003677,9.59799,0.00705,11.0258,22.354,29.871,22.034,12.965
2024-11-30,01:00:01,75.927,2.70956,10.5662,17.092,13.2758,0,0,0,0.949,0,22.0549,257.825408,0.003438,9.39376,0.004584,10.8393,22.344,29.905,22.054,12.512
2024-11-30,02:00:00,72.785,7.5316,8.93759,17.202,16.4692,0,0,0,0.949,0,22.8718,257.82509,0.003721,10.4148,0.00531,9.69268,22.354,29.491,22.054,12.891
2024-11-30,03:00:01,72.338,2.34852,6.54922,17.263,8.89775,0,0,0,0.949,0,22.2591,257.825369,0.002267,9.39378,0.00655,6.78543,22.384,29.459,22.074,12.135
2024-11-30,04:00:01,73.009,6.52358,9.99752,17.062,16.5211,0,0,0,0.946,0,22.4634,257.825171,0.002052,10.0064,0.005167,10.652,22.394,29.426,22.084,12.173
2024-11-30,05:00:00,73.422,5.61174,20.2442,16.861,25.856,0,0,0,0.949,0,22.8718,257.824666,0.002789,10.2106,0.005956,20.8096,22.334,29.385,22.024,12.17
2024-11-30,06:00:00,67.969,5.38134,24.92,18.65,30.3014,0,0,0,0.949,0,23.2802,257.824132,0.002458,10.2106,0.004699,25.4632,22.324,29.592,22.014,12.813
2024-11-30,07:00:01,62.525,9.27022,23.2266,20.689,32.4968,0,0,0,0.95,0,23.2802,257.823516,0.003187,10.4148,0.004702,24.1585,22.645,29.794,22.295,12.977
2024-11-30,08:00:00,61.853,11.3496,29.174,21.332,40.5236,0,0,0,0.947,0,23.076,257.822768,0.004326,10.0064,0.004312,30.315,23.057,29.935,22.686,12.995
2024-11-30,09:00:01,57.346,16.1225,32.7671,22.907,48.8895,0,0,0,0.949,0,23.8929,257.822141,0.002606,10.4148,0.00522,34.3862,23.277,29.955,22.917,13.081
2024-11-30,10:00:01,53.806,10.4,30.1194,23.8,40.5194,0,0,0,0.949,0,23.2802,257.82161,0.002676,10.0064,0.006001,31.1656,23.468,29.868,23.098,13.089
2024-11-30,11:00:00,46.602,15.9399,29.5452,26.015,45.4851,0,0,0,0.947,0,23.4844,257.821119,0.002275,10.4148,0.004992,31.1454,23.508,29.768,23.118,13.014
2024-11-30,12:00:00,46.38,14.1021,31.5337,26.246,45.6358,0,0,0,0.947,0,23.8929,257.820782,0.003718,10.2106,0.006033,32.9505,23.638,29.779,23.368,12.722
2024-11-30,13:00:01,46.993,7.06654,38.0085,26.115,45.075,0,0,0,0.946,0,23.6886,257.820625,0.001959,10.0064,0.006961,38.7229,23.669,29.784,23.439,13.104
2024-11-30,14:00:01,47.282,7.18329,37.125,25.464,44.3083,0,0,0,0.948,0,24.5055,257.820136,0.002238,10.4148,0.006619,37.8509,23.598,29.568,23.368,13.063
2024-11-30,15:00:00,49.841,9.34557,33.5222,24.391,42.8677,0,0,0,0.949,0,25.1181,257.819678,0.002762,10.619,0.009857,34.4636,23.588,29.567,23.358,12.646
2024-11-30,16:00:01,55.118,12.5963,30.1353,22.646,42.7317,9.59028,23.8105,33.4007,0.949,0,24.7097,257.819027,0.002344,10.619,0.005634,31.4013,23.568,29.53,23.328,13.099
2024-11-30,17:00:01,59.787,12.5104,29.0883,21.241,41.5987,9.34441,23.7936,33.1381,0.948,0,24.7097,257.818419,0.002518,10.4148,0.005308,30.3454,23.348,29.649,23.158,13.016
2024-11-30,18:00:00,64.681,12.7255,27.3933,19.876,40.1188,9.18492,23.7375,32.9224,0.947,0,24.9139,257.81791,0.003015,10.0064,0.007112,28.6715,23.167,29.736,22.987,12.781
2024-11-30,19:00:00,69.139,10.3073,46.8196,18.65,57.1269,8.85853,24.4983,33.3568,0.951,0,25.1181,257.817173,0.003494,11.0275,0.005497,47.8599,22.956,29.786,22.797,12.999
2024-11-30,20:00:01,73.758,12.6968,25.0458,17.474,37.7426,8.88511,24.3862,33.2713,0.95,0,25.1181,257.816516,0.002681,10.2106,0.004837,26.3207,22.776,29.909,22.626,13.068
2024-11-30,21:00:01,75.406,13.2523,21.9241,16.981,35.1764,9.10033,24.4773,33.5776,0.95,0,25.1181,257.815788,0.003882,10.4148,0.005166,23.254,22.645,29.898,22.496,12.986
2024-11-30,22:00:00,75.877,6.2524,19.689,16.76,25.9414,9.12333,24.633,33.7563,0.951,0,24.5055,257.815313,0.003937,10.2106,0.007177,20.3183,22.505,29.816,22.355,12.98
2024-11-30,23:00:00,74.928,5.74158,14.4138,16.851,20.1553,9.12086,24.649,33.7699,0.95,0,24.9139,257.815506,0.002826,10.2106,0.005944,14.9909,22.434,29.775,22.315,12.978
2024-12-01,00:00:01,75.695,2.0916,12.5542,16.72,14.6458,9.12751,24.7208,33.8483,0.948,0,25.3223,257.815186,0.003283,10.619,0.007464,12.7659,22.445,29.879,22.325,12.676
2024-12-01,01:00:00,76.223,7.35514,12.6619,16.649,20.017,9.32108,24.8081,34.1292,0.948,0,25.5266,257.815169,0.003292,11.0275,0.007789,13.4001,22.424,29.947,22.285,12.977
2024-12-01,02:00:00,77.028,6.86658,12.6852,16.519,19.5518,9.29336,24.9643,34.2577,0.95,0,25.7308,257.814839,0.003183,10.8233,0.007581,13.3745,22.364,30.01,22.225,12.293
2024-12-01,03:00:01,77.029,1.18464,13.3666,16.418,14.5512,9.24487,25.2484,34.4932,0.948,0,24.9139,257.814585,0.003598,10.619,0.010941,13.4877,22.294,29.9,22.195,12.972
2024-12-01,04:00:01,76.633,20.6765,14.5036,16.398,35.1802,9.83458,25.4361,35.2707,0.949,0,24.7097,257.814436,0.004109,10.0064,0.008936,16.5746,22.284,29.899,22.154,12.971
2024-12-01,05:00:00,76.173,11.0184,27.672,16.428,38.6905,10.0599,25.7456,35.8055,0.948,0,25.5266,257.813766,0.003657,10.8233,0.007676,28.7796,22.264,29.829,22.144,12.97
2024-12-01,06:00:00,73.086,12.0941,21.7242,17.765,33.8182,10.3396,25.6124,35.952,0.948,0,25.3223,257.813337,0.003063,10.4148,0.008225,22.9382,22.304,30.074,22.174,13.047
2024-12-01,07:00:01,66.443,9.86845,20.9785,19.373,30.8469,10.3645,25.5188,35.8832,0.95,0,25.5266,257.81279,0.004142,10.619,0.008233,21.9697,22.545,30.096,22.375,13.056
2024-12-01,08:00:01,62.436,16.3125,29.7203,21.281,46.0328,10.5713,25.5415,36.1128,0.949,0,25.5266,257.812007,0.003128,10.8233,0.005669,31.3578,22.976,30.136,22.787,13.112
2024-12-01,09:00:00,57.965,10.1154,30.3357,22.416,40.4512,10.321,25.4402,35.7612,0.949,0,25.5266,257.811285,0.003215,10.619,0.005229,31.3535,23.408,30.036,23.178,12.713
2024-12-01,10:00:01,54.121,12.7369,29.1767,23.89,41.9137,10.4183,25.4009,35.8193,0.95,0,26.3434,257.810992,0.003682,10.4148,0.006696,30.4565,23.689,29.888,23.439,13.104
2024-12-01,11:00:01,48.268,15.9902,29.0858,25.554,45.0761,10.4204,25.3818,35.8022,0.949,0,26.1392,257.810641,0.002824,11.2317,0.005282,30.691,23.749,29.86,23.489,13.182
2024-12-01,12:00:00,47.435,13.9336,37.8714,26.336,51.805,10.4134,25.6459,36.0593,0.949,0,26.1392,257.810296,0.002636,10.2106,0.00623,39.2726,23.769,29.93,23.519,13.183
2024-12-01,13:00:00,49.029,17.3787,47.7579,24.772,65.1366,10.8431,26.0521,36.8952,0.949,0,26.7518,257.810014,0.003032,11.0275,0.006439,49.5057,23.588,29.706,23.328,13.099
2024-12-01,14:00:01,49.74,14.1356,36.8681,24.532,51.0037,11.1328,26.0414,37.1742,0.947,0,26.1392,257.809702,0.002095,11.4359,0.004837,38.2893,23.498,29.628,23.268,13.096
2024-12-01,15:00:01,50.254,22.3589,29.3684,24.261,51.7272,11.675,25.8683,37.5433,0.947,0,26.3434,257.809199,0.003601,11.0275,0.006026,31.6106,23.498,29.767,23.238,12.792
2024-12-01,16:00:00,53.443,19.3185,27.065,23.208,46.3836,11.9551,25.7404,37.6955,0.948,0,26.7518,257.808585,0.003564,11.0275,0.005169,29.0027,23.588,29.74,23.358,13.1
2024-12-01,17:00:01,58.354,5.5437,22.7551,21.793,28.2988,11.6648,25.4765,37.1413,0.948,0,26.3434,257.808202,0.005124,10.8233,0.008242,23.3141,23.488,29.767,23.278,13.096
2024-12-01,18:00:01,64.917,7.75769,20.6357,19.524,28.3934,11.4578,25.1949,36.6528,0.948,0,26.3434,257.807692,0.003294,11.2317,0.006036,21.4158,23.267,29.607,23.087,13.012
2024-12-01,19:00:00,68.56,7.29236,23.1294,18.409,30.4217,11.3322,24.2078,35.54,0.949,0,25.3223,257.808361,0.003546,11.2317,0.007891,23.8634,22.976,29.719,22.807,12.318
2024-12-01,20:00:01,70.698,12.1779,22.3591,17.675,34.5371,11.3106,24.0959,35.4065,0.949,0,26.1392,257.806541,0.005285,11.4359,0.008304,23.5816,22.766,29.666,22.616,12.991
2024-12-01,21:00:01,71.835,14.2209,18.0134,17.192,32.2343,11.3509,23.933,35.2839,0.949,0,26.3434,257.806072,0.003445,11.2317,0.007856,19.4394,22.615,29.549,22.475,12.266
2024-12-01,22:00:00,72.039,9.44811,16.5023,17.062,25.9504,11.4841,23.8002,35.2843,0.948,0,26.3434,257.805802,0.003573,11.4359,0.007842,17.4506,22.535,29.541,22.405,12.906
2024-12-01,23:00:00,73.925,10.1411,16.0113,16.277,26.1524,11.6674,23.8667,35.5341,0.951,0,26.956,257.805504,0.004171,11.8443,0.005463,17.0288,22.445,29.431,22.325,12.827
2024-12-02,00:00:01,74.758,7.14316,9.09997,16.096,16.2431,11.8779,23.7228,35.6007,0.949,0,26.5476,257.805509,0.004895,11.4359,0.005985,9.81625,22.364,29.459,22.245,12.37
2024-12-02,01:00:01,74.316,0.262032,7.60715,16.006,7.86918,11.5823,23.5122,35.0945,0.948,0,26.7518,257.80566,0.005336,11.2317,0.00765,7.63488,22.324,29.315,22.184,12.821
2024-12-02,02:00:00,75.271,0.668844,8.72205,15.714,9.3909,11.3241,23.3471,34.6712,0.947,0,26.5476,257.806943,0.003123,12.2527,0.005203,8.7907,22.254,29.343,22.154,12.176
2024-12-02,03:00:01,75.337,3.09885,6.04937,15.895,9.14822,11.4039,23.0422,34.446,0.948,0,27.5687,257.805804,0.003713,11.2317,0.00596,6.36053,22.254,29.482,22.134,12.554
2024-12-02,04:00:01,74.721,8.73885,10.8881,16.257,19.6269,10.9065,22.8915,33.798,0.947,0,26.5476,257.805497,0.003352,11.0275,0.004997,11.7643,22.254,29.585,22.134,12.894
2024-12-02,05:00:00,74.291,9.13344,18.5459,16.468,27.6793,10.8279,22.5113,33.3392,0.949,0,26.1392,257.805168,0.004303,11.0275,0.006,19.4631,22.264,29.656,22.154,12.933
2024-12-02,06:00:00,73.34,14.2105,35.2659,17.182,49.4763,10.9161,23.0755,33.9916,0.948,0,26.7518,257.804353,0.005373,11.6401,0.005553,36.6943,22.314,29.938,22.205,12.897
2024-12-02,07:00:01,71.781,6.69283,23.4094,17.786,30.1022,10.7838,23.1768,33.9606,0.948,0,26.7518,257.803403,0.004747,11.2317,0.007975,24.0835,22.525,29.818,22.395,12.981
2024-12-02,08:00:01,64.625,9.35865,22.5513,20.006,31.9099,10.494,22.8781,33.3721,0.949,0,27.5687,257.802558,0.002524,11.6401,0.007093,23.4918,22.856,29.917,22.676,12.994
2024-12-02,09:00:00,59.78,15.2372,31.9784,21.362,47.2156,10.7074,22.9465,33.654,0.948,0,26.956,257.801883,0.003286,11.0275,0.008145,33.5088,23.247,29.675,23.027,12.783
2024-12-02,10:00:01,53.91,15.5462,33.6046,23.118,49.1508,10.8245,23.131,33.9555,0.949,0,27.3645,257.801126,0.003353,10.8233,0.004516,35.1663,23.628,29.709,23.398,13.026
2024-12-02,11:00:01,57.878,7.67904,30.4165,22.245,38.0955,10.4782,23.1865,33.6647,0.948,0,27.1602,257.800691,0.003007,10.8233,0.007872,31.1906,23.669,29.747,23.439,13.029
2024-12-02,12:00:00,55.185,11.5273,30.4637,23.248,41.991,10.3779,22.8778,33.2558,0.948,0,27.1602,257.801131,0.002364,11.2317,0.006604,31.6227,23.488,29.974,23.268,12.414
2024-12-02,13:00:00,51.829,14.3173,33.2791,24.542,47.5964,10.2504,22.2745,32.5249,0.948,0,27.9771,257.799574,0.003483,11.4359,0.006118,34.7178,23.538,30.117,23.298,13.173
2024-12-02,14:00:01,54.123,14.6787,39.8416,23.9,54.5204,10.273,22.3984,32.6715,0.948,0,27.7729,257.79811,0.00301,11.4359,0.00577,41.3178,23.498,30.252,23.268,13.172
2024-12-02,15:00:00,56.069,7.17143,30.5102,23.389,37.6816,9.64019,22.446,32.0862,0.947,0,27.3645,257.79857,0.002589,11.2317,0.006896,31.2336,23.598,30.33,23.368,12.798
2024-12-02,16:00:00,59.505,11.7865,34.4932,21.934,46.2797,9.32636,22.7555,32.0819,0.948,0,28.1813,257.798314,0.004045,12.0485,0.006899,35.679,23.578,30.051,23.358,13.176
2024-12-02,17:00:01,67.003,9.13397,27.8954,19.745,37.0293,9.47595,22.9697,32.4457,0.948,0,28.1813,257.797663,0.003206,12.2527,0.009881,28.8145,23.428,30.107,23.208,13.169
2024-12-02,18:00:00,71.411,10.0081,26.4264,18.489,36.4345,9.56972,23.211,32.7807,0.949,0,27.9771,257.796963,0.004809,11.6401,0.005322,27.4327,23.137,30.15,22.967,12.628
2024-12-02,19:00:00,72.535,14.2667,24.5303,18.318,38.797,9.86032,23.2694,33.1297,0.949,0,27.3645,257.796029,0.002962,11.2317,0.007134,25.9622,22.956,30.272,22.807,13.151
2024-12-02,20:00:01,74.352,13.7066,18.361,18.007,32.0676,9.92402,23.1028,33.0268,0.952,0,27.3645,257.79544,0.005015,11.0275,0.009093,19.7356,22.846,30.365,22.706,13.109
2024-12-02,21:00:00,74.584,8.67486,15.9524,17.906,24.6272,9.69293,23.0169,32.7098,0.952,0,27.7729,257.794929,0.005087,11.8443,0.0037,16.8232,22.756,30.392,22.596,12.385
2024-12-02,22:00:00,73.392,6.24901,18.362,17.776,24.611,9.55964,23.0944,32.654,0.95,0,27.9771,257.794629,0.003799,11.6401,0.004697,18.9907,22.705,30.18,22.556,13.102
2024-12-02,23:00:01,72.999,7.56591,15.5083,17.846,23.0742,9.45234,23.0734,32.5258,0.95,0,27.5687,257.794431,0.002959,11.6401,0.00946,16.2682,22.685,30.109,22.546,12.307
2024-12-03,00:00:01,72.746,8.11122,13.0482,17.856,21.1594,9.49267,23.2379,32.7306,0.951,0,27.7729,257.794171,0.005164,11.4359,0.004791,13.8621,22.665,30.142,22.526,12.76
2024-12-03,01:00:00,72.319,6.74267,9.65707,17.776,16.3997,9.7627,23.3233,33.086,0.95,0,28.1813,257.794037,0.003725,11.8443,0.004593,10.3334,22.655,29.968,22.506,12.986
2024-12-03,02:00:01,73.747,7.26735,11.7107,17.424,18.978,10.0376,23.4479,33.4855,0.949,0,27.7729,257.793735,0.004536,11.4359,0.008283,12.4399,22.645,30.036,22.496,13.062
2024-12-03,03:00:01,73.696,6.40057,11.7258,17.424,18.1264,10.1752,23.6844,33.8596,0.948,0,27.9771,257.793692,0.004428,11.2317,0.006728,12.3683,22.625,30.034,22.496,13.062
2024-12-03,04:00:00,73.214,3.39616,15.316,17.444,18.7122,9.9526,23.8689,33.8215,0.947,0,27.7729,257.793363,0.003083,11.2317,0.005766,15.6588,22.625,29.93,22.475,12.985
2024-12-03,05:00:00,73.785,7.30835,17.4715,17.484,24.7799,9.87655,23.8241,33.7007,0.948,0,27.9771,257.79292,0.003455,11.2317,0.007358,18.206,22.605,30.101,22.455,12.757
2024-12-03,06:00:01,71.78,9.57322,27.5819,18.027,37.1551,9.68333,23.504,33.1873,0.948,0,27.5687,257.792311,0.00453,11.8443,0.007479,28.5449,22.605,30.101,22.455,12.984
2024-12-03,07:00:01,71.001,13.8727,27.3578,18.268,41.2305,9.98249,23.6685,33.651,0.949,0,28.5897,257.791717,0.003385,12.2527,0.006359,28.7508,22.705,30.111,22.556,13.064
2024-12-03,08:00:00,70.18,13.3761,33.2094,18.59,46.5856,10.1499,24.1126,34.2624,0.951,0,28.3855,257.790894,0.005511,12.0485,0.008154,34.554,22.846,30.123,22.696,13.071
2024-12-03,09:00:01,66.218,14.5889,33.8738,19.896,48.4626,10.1229,24.1915,34.3144,0.95,0,28.1813,257.790024,0.002918,11.6401,0.004898,35.3397,22.986,30.102,22.797,13.075
2024-12-03,10:00:01,58.485,17.1645,31.849,22.205,49.0135,10.1903,24.1184,34.3087,0.95,0,29.2024,257.789326,0.003777,11.4359,0.006076,33.5722,23.297,30.096,23.087,13.088
2024-12-03,11:00:00,51.587,14.7949,34.4861,24.161,49.281,10.4868,24.288,34.7747,0.95,0,28.5897,257.788599,0.003192,11.4359,0.00424,35.9728,23.628,29.848,23.388,13.102
2024-12-03,12:00:00,48.384,15.0794,33.8813,25.284,48.9606,10.6348,24.4304,35.0651,0.947,0,28.1813,257.788041,0.003056,11.6401,0.00488,35.3963,23.689,29.783,23.408,13.065
2024-12-03,13:00:01,47.99,5.90635,35.0572,25.584,40.9636,10.2843,24.5044,34.7888,0.95,0,28.5897,257.787752,0.004014,11.6401,0.005132,35.655,23.638,29.953,23.388,13.178
2024-12-03,14:00:00,51.228,-0.848378,45.9638,24.411,45.1154,9.63738,24.7595,34.3969,0.949,0,28.3855,257.787333,0.004882,12.0485,0.007596,45.8881,23.588,29.984,23.368,13.101
2024-12-03,15:00:00,52.21,20.7327,35.4119,24.041,56.1446,10.2024,24.9638,35.1662,0.949,0,28.5897,257.786844,0.003895,11.8443,0.005149,37.4926,23.548,29.945,23.338,12.417
2024-12-03,16:00:01,53.618,10.2598,28.3005,23.369,38.5602,10.1388,24.7057,34.8446,0.949,0,28.9982,257.786392,0.002779,12.0485,0.013217,29.3323,23.548,29.841,23.318,13.023
